danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,type,uri,analysis_url,track_href
0.44,0.889,8,-4.723,1,0.0462,0.0275,0,0.143,0.409,166.074,4ruSkRHMQKBPtYAYpMf0oR,234187,4,audio_features,spotify:track:4ruSkRHMQKBPtYAYpMf0oR,https://api.spotify.com/v1/audio-analysis/4ruSkRHMQKBPtYAYpMf0oR,https://api.spotify.com/v1/tracks/4ruSkRHMQKBPtYAYpMf0oR
0.652,0.654,1,-6.69,1,0.0377,0.252,0.000553,0.117,0.605,120.019,2lFtnEmkIPm2ClN55e2chV,211160,4,audio_features,spotify:track:2lFtnEmkIPm2ClN55e2chV,https://api.spotify.com/v1/audio-analysis/2lFtnEmkIPm2ClN55e2chV,https://api.spotify.com/v1/tracks/2lFtnEmkIPm2ClN55e2chV
0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,05ZACkzW8YbRq3eFgIfSNB,263387,4,audio_features,spotify:track:05ZACkzW8YbRq3eFgIfSNB,https://api.spotify.com/v1/audio-analysis/05ZACkzW8YbRq3eFgIfSNB,https://api.spotify.com/v1/tracks/05ZACkzW8YbRq3eFgIfSNB
0.663,0.53,1,-9.763,1,0.0301,0.0886,0,0.154,0.269,109.003,2Hx66vdWgA4DE0yqqktQiT,207347,4,audio_features,spotify:track:2Hx66vdWgA4DE0yqqktQiT,https://api.spotify.com/v1/audio-analysis/2Hx66vdWgA4DE0yqqktQiT,https://api.spotify.com/v1/tracks/2Hx66vdWgA4DE0yqqktQiT
0.514,0.918,7,-4.306,1,0.0365,0.0409,0,0.342,0.64,150.033,498ZVInMGDkmmNVpSWqHiZ,226173,4,audio_features,spotify:track:498ZVInMGDkmmNVpSWqHiZ,https://api.spotify.com/v1/audio-analysis/498ZVInMGDkmmNVpSWqHiZ,https://api.spotify.com/v1/tracks/498ZVInMGDkmmNVpSWqHiZ
0.539,0.779,4,-4.139,1,0.0432,0.247,2.71e-06,0.386,0.705,164.029,0a3KWFyJEaOBOGKjTGOoN8,189507,4,audio_features,spotify:track:0a3KWFyJEaOBOGKjTGOoN8,https://api.spotify.com/v1/audio-analysis/0a3KWFyJEaOBOGKjTGOoN8,https://api.spotify.com/v1/tracks/0a3KWFyJEaOBOGKjTGOoN8
0.526,0.661,7,-3.828,0,0.0333,0.361,0,0.087,0.556,78.132,19PJf5HzeiVW0mdk82Swmn,196960,4,audio_features,spotify:track:19PJf5HzeiVW0mdk82Swmn,https://api.spotify.com/v1/audio-analysis/19PJf5HzeiVW0mdk82Swmn,https://api.spotify.com/v1/tracks/19PJf5HzeiVW0mdk82Swmn
0.553,0.747,9,-5.905,1,0.0292,0.0244,0,0.363,0.711,73.033,045SnNDjOfOLKM5OxARH4g,206573,4,audio_features,spotify:track:045SnNDjOfOLKM5OxARH4g,https://api.spotify.com/v1/audio-analysis/045SnNDjOfOLKM5OxARH4g,https://api.spotify.com/v1/tracks/045SnNDjOfOLKM5OxARH4g
0.599,0.807,4,-4.679,1,0.0402,0.202,0,0.196,0.812,172.017,3ts6xK5GzfMAAriT9AIBmP,167427,4,audio_features,spotify:track:3ts6xK5GzfMAAriT9AIBmP,https://api.spotify.com/v1/audio-analysis/3ts6xK5GzfMAAriT9AIBmP,https://api.spotify.com/v1/tracks/3ts6xK5GzfMAAriT9AIBmP
0.581,0.783,2,-6.667,1,0.0405,0.0707,0.00014,0.0875,0.604,125.948,0JCjhCdqvVQ8am5x689TL0,213736,4,audio_features,spotify:track:0JCjhCdqvVQ8am5x689TL0,https://api.spotify.com/v1/audio-analysis/0JCjhCdqvVQ8am5x689TL0,https://api.spotify.com/v1/tracks/0JCjhCdqvVQ8am5x689TL0
0.732,0.458,5,-7.225,1,0.0311,0.447,0,0.136,0.661,98.938,7mldq42yDuxiUNn08nvzHO,165387,4,audio_features,spotify:track:7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/audio-analysis/7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO
0.488,0.833,11,-6.571,1,0.0437,0.0352,0.0172,0.34,0.751,174.006,5ix3mPn7JFsKTVoidu6dBw,236787,4,audio_features,spotify:track:5ix3mPn7JFsKTVoidu6dBw,https://api.spotify.com/v1/audio-analysis/5ix3mPn7JFsKTVoidu6dBw,https://api.spotify.com/v1/tracks/5ix3mPn7JFsKTVoidu6dBw
0.476,0.92,10,-3.223,1,0.0329,0.00485,1.15e-05,0.355,0.694,142.952,0H9Q7Vzu8nYRDBZYKbtU8d,193640,4,audio_features,spotify:track:0H9Q7Vzu8nYRDBZYKbtU8d,https://api.spotify.com/v1/audio-analysis/0H9Q7Vzu8nYRDBZYKbtU8d,https://api.spotify.com/v1/tracks/0H9Q7Vzu8nYRDBZYKbtU8d
0.557,0.737,3,-5.75,1,0.0476,0.0142,0,0.314,0.817,158.05,63QCk4cHK1jEdCJsGqOx0D,204187,4,audio_features,spotify:track:63QCk4cHK1jEdCJsGqOx0D,https://api.spotify.com/v1/audio-analysis/63QCk4cHK1jEdCJsGqOx0D,https://api.spotify.com/v1/tracks/63QCk4cHK1jEdCJsGqOx0D
0.586,0.677,1,-8.343,1,0.0294,0.043,0.0936,0.0884,0.562,144.001,1TKlBK9cSrM5u4CiL4SETS,262280,4,audio_features,spotify:track:1TKlBK9cSrM5u4CiL4SETS,https://api.spotify.com/v1/audio-analysis/1TKlBK9cSrM5u4CiL4SETS,https://api.spotify.com/v1/tracks/1TKlBK9cSrM5u4CiL4SETS
0.579,0.776,8,-5.365,1,0.173,0.0749,0,0.239,0.434,136.044,7aftSOGSOpSoIlVAQVBb71,229880,4,audio_features,spotify:track:7aftSOGSOpSoIlVAQVBb71,https://api.spotify.com/v1/audio-analysis/7aftSOGSOpSoIlVAQVBb71,https://api.spotify.com/v1/tracks/7aftSOGSOpSoIlVAQVBb71
0.637,0.669,7,-4.608,1,0.0237,0.0919,0,0.103,0.638,108.078,1R9FxlRkvKtt36dtTHs93X,205120,4,audio_features,spotify:track:1R9FxlRkvKtt36dtTHs93X,https://api.spotify.com/v1/audio-analysis/1R9FxlRkvKtt36dtTHs93X,https://api.spotify.com/v1/tracks/1R9FxlRkvKtt36dtTHs93X
0.53,0.717,1,-6.073,1,0.0421,0.201,0,0.0544,0.906,160.458,54YvR3jlAJ3nnSCK1dWcwm,236987,4,audio_features,spotify:track:54YvR3jlAJ3nnSCK1dWcwm,https://api.spotify.com/v1/audio-analysis/54YvR3jlAJ3nnSCK1dWcwm,https://api.spotify.com/v1/tracks/54YvR3jlAJ3nnSCK1dWcwm
0.555,0.931,8,-2.969,1,0.0367,0.016,0,0.405,0.723,132.085,2TR7A4ulH9R1PNwMyd8o8U,220907,4,audio_features,spotify:track:2TR7A4ulH9R1PNwMyd8o8U,https://api.spotify.com/v1/audio-analysis/2TR7A4ulH9R1PNwMyd8o8U,https://api.spotify.com/v1/tracks/2TR7A4ulH9R1PNwMyd8o8U
0.566,0.713,6,-4.25,1,0.0417,0.645,0,0.114,0.807,169.864,4dGJf1SER1T6ooX46vwzRB,238147,4,audio_features,spotify:track:4dGJf1SER1T6ooX46vwzRB,https://api.spotify.com/v1/audio-analysis/4dGJf1SER1T6ooX46vwzRB,https://api.spotify.com/v1/tracks/4dGJf1SER1T6ooX46vwzRB
0.537,0.66,9,-7.174,1,0.0296,0.455,0,0.135,0.574,148.096,3xdjjKMcMOFgo1eQrfbogM,298373,4,audio_features,spotify:track:3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/audio-analysis/3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/tracks/3xdjjKMcMOFgo1eQrfbogM
0.555,0.89,6,-5.533,1,0.0309,0.0414,0.131,0.147,0.513,96.987,6rqxivjFHp8K0yMiefG56g,335267,4,audio_features,spotify:track:6rqxivjFHp8K0yMiefG56g,https://api.spotify.com/v1/audio-analysis/6rqxivjFHp8K0yMiefG56g,https://api.spotify.com/v1/tracks/6rqxivjFHp8K0yMiefG56g
0.711,0.801,6,-3.742,1,0.029,0.0244,0.000113,0.135,0.956,105.006,1qwnPVOIJjAFfCc40Etb1D,205000,4,audio_features,spotify:track:1qwnPVOIJjAFfCc40Etb1D,https://api.spotify.com/v1/audio-analysis/1qwnPVOIJjAFfCc40Etb1D,https://api.spotify.com/v1/tracks/1qwnPVOIJjAFfCc40Etb1D
0.479,0.86,0,-4.318,1,0.0347,0.00566,0,0.168,0.743,80.018,6YKL9gCOH31W5fanjQTtqq,178027,4,audio_features,spotify:track:6YKL9gCOH31W5fanjQTtqq,https://api.spotify.com/v1/audio-analysis/6YKL9gCOH31W5fanjQTtqq,https://api.spotify.com/v1/tracks/6YKL9gCOH31W5fanjQTtqq
0.587,0.559,1,-7.742,1,0.0321,0.399,6.69e-06,0.0992,0.19,92.036,5aj0xPGiEUN3aI2oOYu14S,221173,4,audio_features,spotify:track:5aj0xPGiEUN3aI2oOYu14S,https://api.spotify.com/v1/audio-analysis/5aj0xPGiEUN3aI2oOYu14S,https://api.spotify.com/v1/tracks/5aj0xPGiEUN3aI2oOYu14S
0.612,0.799,10,-4.603,1,0.0275,0.00898,0,0.172,0.687,125.976,7zVCrzzEJU7u24sbJPXA5W,188253,4,audio_features,spotify:track:7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/audio-analysis/7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/tracks/7zVCrzzEJU7u24sbJPXA5W
0.614,0.472,7,-6.626,1,0.0297,0.158,0,0.111,0.168,146.005,0xwPzLmBAYro8BUz7MrtAo,225693,4,audio_features,spotify:track:0xwPzLmBAYro8BUz7MrtAo,https://api.spotify.com/v1/audio-analysis/0xwPzLmBAYro8BUz7MrtAo,https://api.spotify.com/v1/tracks/0xwPzLmBAYro8BUz7MrtAo
0.549,0.866,6,-5.306,1,0.0476,0.0733,0,0.25,0.767,87.964,4O1CExxinEpKZi3861NlTK,187400,4,audio_features,spotify:track:4O1CExxinEpKZi3861NlTK,https://api.spotify.com/v1/audio-analysis/4O1CExxinEpKZi3861NlTK,https://api.spotify.com/v1/tracks/4O1CExxinEpKZi3861NlTK
0.615,0.65,3,-4.944,1,0.0347,0.0718,0,0.101,0.548,152.086,2BeispT0rpKZX9RhI1H8vL,207733,4,audio_features,spotify:track:2BeispT0rpKZX9RhI1H8vL,https://api.spotify.com/v1/audio-analysis/2BeispT0rpKZX9RhI1H8vL,https://api.spotify.com/v1/tracks/2BeispT0rpKZX9RhI1H8vL
0.458,0.976,0,-3.791,1,0.0459,0.00182,0,0.193,0.76,154.007,46ZfPS5VpSQVU5gb82hg3K,218867,4,audio_features,spotify:track:46ZfPS5VpSQVU5gb82hg3K,https://api.spotify.com/v1/audio-analysis/46ZfPS5VpSQVU5gb82hg3K,https://api.spotify.com/v1/tracks/46ZfPS5VpSQVU5gb82hg3K
0.69,0.626,7,-5.831,1,0.0275,0.129,0,0.169,0.638,101.958,0CexLaYHQrvcTZZb8Ra54e,181200,4,audio_features,spotify:track:0CexLaYHQrvcTZZb8Ra54e,https://api.spotify.com/v1/audio-analysis/0CexLaYHQrvcTZZb8Ra54e,https://api.spotify.com/v1/tracks/0CexLaYHQrvcTZZb8Ra54e
0.509,0.831,6,-4.807,0,0.0472,0.0531,0,0.055,0.709,82.018,0swP2oU1YIwdicBy3nfgvw,190493,4,audio_features,spotify:track:0swP2oU1YIwdicBy3nfgvw,https://api.spotify.com/v1/audio-analysis/0swP2oU1YIwdicBy3nfgvw,https://api.spotify.com/v1/tracks/0swP2oU1YIwdicBy3nfgvw
