danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,type,uri,analysis_url,track_href
0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,2meEiZKWkiN28gITzFwQo5,244453,4,audio_features,spotify:track:2meEiZKWkiN28gITzFwQo5,https://api.spotify.com/v1/audio-analysis/2meEiZKWkiN28gITzFwQo5,https://api.spotify.com/v1/tracks/2meEiZKWkiN28gITzFwQo5
0.698,0.844,7,-4.549,0,0.067,0.0577,1.69e-05,0.105,0.446,126.937,1OXfWI3FQMdsKKC6lkvzSx,198467,4,audio_features,spotify:track:1OXfWI3FQMdsKKC6lkvzSx,https://api.spotify.com/v1/audio-analysis/1OXfWI3FQMdsKKC6lkvzSx,https://api.spotify.com/v1/tracks/1OXfWI3FQMdsKKC6lkvzSx
0.689,0.737,9,-4.516,1,0.0268,0.00482,0,0.0777,0.47,140.0,4pSPMXaCjbaV3VSzZQYC7H,207893,4,audio_features,spotify:track:4pSPMXaCjbaV3VSzZQYC7H,https://api.spotify.com/v1/audio-analysis/4pSPMXaCjbaV3VSzZQYC7H,https://api.spotify.com/v1/tracks/4pSPMXaCjbaV3VSzZQYC7H
0.688,0.702,7,-4.792,0,0.0499,0.0215,0,0.128,0.74,94.006,6Knv6wdA0luoMUuuoYi2i1,192191,4,audio_features,spotify:track:6Knv6wdA0luoMUuuoYi2i1,https://api.spotify.com/v1/audio-analysis/6Knv6wdA0luoMUuuoYi2i1,https://api.spotify.com/v1/tracks/6Knv6wdA0luoMUuuoYi2i1
0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0,0.0688,0.861,132.032,2AZXe8nq18mPITmPy5KJwQ,220227,4,audio_features,spotify:track:2AZXe8nq18mPITmPy5KJwQ,https://api.spotify.com/v1/audio-analysis/2AZXe8nq18mPITmPy5KJwQ,https://api.spotify.com/v1/tracks/2AZXe8nq18mPITmPy5KJwQ
0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,4iJyoBOLtHqaGxP12qzhQI,198082,4,audio_features,spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI
0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,4E6cwWJWZw2zWf7VFbH7wf,258827,4,audio_features,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/audio-analysis/4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/tracks/4E6cwWJWZw2zWf7VFbH7wf
0.858,0.677,1,-3.842,0,0.0465,0.0752,0,0.0718,0.925,117.005,3veFQzlEOTpcGGIbYPKdYq,188067,4,audio_features,spotify:track:3veFQzlEOTpcGGIbYPKdYq,https://api.spotify.com/v1/audio-analysis/3veFQzlEOTpcGGIbYPKdYq,https://api.spotify.com/v1/tracks/3veFQzlEOTpcGGIbYPKdYq
0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.494,123.907,6r2BECwMgEoRb5yLfp0Hca,260253,4,audio_features,spotify:track:6r2BECwMgEoRb5yLfp0Hca,https://api.spotify.com/v1/audio-analysis/6r2BECwMgEoRb5yLfp0Hca,https://api.spotify.com/v1/tracks/6r2BECwMgEoRb5yLfp0Hca
0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,6mnjcTmK8TewHfyOp3fC9C,211920,4,audio_features,spotify:track:6mnjcTmK8TewHfyOp3fC9C,https://api.spotify.com/v1/audio-analysis/6mnjcTmK8TewHfyOp3fC9C,https://api.spotify.com/v1/tracks/6mnjcTmK8TewHfyOp3fC9C
0.604,0.843,10,-3.932,0,0.1,0.036,6.22e-06,0.183,0.688,173.982,1I23ZdNcezc4N7QUc30rXx,144992,4,audio_features,spotify:track:1I23ZdNcezc4N7QUc30rXx,https://api.spotify.com/v1/audio-analysis/1I23ZdNcezc4N7QUc30rXx,https://api.spotify.com/v1/tracks/1I23ZdNcezc4N7QUc30rXx
0.645,0.713,6,-5.355,1,0.0393,0.00835,0,0.113,0.566,74.989,2Z8WuEywRWYTKe1NybPQEW,214507,4,audio_features,spotify:track:2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW
0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,7BKLCZ1jbUBVqRi2FVlTVw,244960,4,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw
