danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,type,uri,analysis_url,track_href
0.639,0.815,11,-4.962,0,0.252,0.232,0,0.299,0.4,159.903,5kkxyqYSQrnHpfsmkjKi81,243280,4,audio_features,spotify:track:5kkxyqYSQrnHpfsmkjKi81,https://api.spotify.com/v1/audio-analysis/5kkxyqYSQrnHpfsmkjKi81,https://api.spotify.com/v1/tracks/5kkxyqYSQrnHpfsmkjKi81
0.755,0.695,9,-5.963,1,0.26,0.0179,0,0.107,0.493,128.063,2ooF4088y5L72c4YTEJQoB,101851,4,audio_features,spotify:track:2ooF4088y5L72c4YTEJQoB,https://api.spotify.com/v1/audio-analysis/2ooF4088y5L72c4YTEJQoB,https://api.spotify.com/v1/tracks/2ooF4088y5L72c4YTEJQoB
0.824,0.584,10,-7.098,0,0.221,0.0718,0,0.106,0.219,139.965,3e7Y6sfFlIdBMJhX7wpqVO,188600,4,audio_features,spotify:track:3e7Y6sfFlIdBMJhX7wpqVO,https://api.spotify.com/v1/audio-analysis/3e7Y6sfFlIdBMJhX7wpqVO,https://api.spotify.com/v1/tracks/3e7Y6sfFlIdBMJhX7wpqVO
0.594,0.705,3,-5.276,0,0.0966,0.0871,0,0.154,0.21,91.715,67T0J1IDGgRwNMp3vWYaVb,242890,4,audio_features,spotify:track:67T0J1IDGgRwNMp3vWYaVb,https://api.spotify.com/v1/audio-analysis/67T0J1IDGgRwNMp3vWYaVb,https://api.spotify.com/v1/tracks/67T0J1IDGgRwNMp3vWYaVb
0.879,0.647,10,-4.566,0,0.0659,0.203,0.00185,0.335,0.212,131.026,08zAFXhfyIxq9359NHksdP,157557,4,audio_features,spotify:track:08zAFXhfyIxq9359NHksdP,https://api.spotify.com/v1/audio-analysis/08zAFXhfyIxq9359NHksdP,https://api.spotify.com/v1/tracks/08zAFXhfyIxq9359NHksdP
0.757,0.882,1,-6.125,1,0.248,0.0763,0,0.251,0.684,140.047,2KpCpk6HjXXLb7nnXoXA5O,219320,4,audio_features,spotify:track:2KpCpk6HjXXLb7nnXoXA5O,https://api.spotify.com/v1/audio-analysis/2KpCpk6HjXXLb7nnXoXA5O,https://api.spotify.com/v1/tracks/2KpCpk6HjXXLb7nnXoXA5O
0.725,0.782,2,-2.182,1,0.152,0.154,0,0.0662,0.428,95.532,1Qesfmh8w3AOTSY0MPYcoX,170830,4,audio_features,spotify:track:1Qesfmh8w3AOTSY0MPYcoX,https://api.spotify.com/v1/audio-analysis/1Qesfmh8w3AOTSY0MPYcoX,https://api.spotify.com/v1/tracks/1Qesfmh8w3AOTSY0MPYcoX
0.869,0.712,9,-6.136,1,0.103,0.0715,0,0.272,0.435,120.0,7eaKWfov7b2Qa2n6HTesL3,275867,4,audio_features,spotify:track:7eaKWfov7b2Qa2n6HTesL3,https://api.spotify.com/v1/audio-analysis/7eaKWfov7b2Qa2n6HTesL3,https://api.spotify.com/v1/tracks/7eaKWfov7b2Qa2n6HTesL3
0.724,0.573,7,-4.113,1,0.0549,0.118,0,0.538,0.438,113.088,4KW1lqgSr8TKrvBII0Brf8,135920,4,audio_features,spotify:track:4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/audio-analysis/4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/tracks/4KW1lqgSr8TKrvBII0Brf8
0.684,0.785,11,-3.903,1,0.274,0.308,2.69e-05,0.15,0.486,143.84,7j6OJzMIJL5JcFHyeSJZGV,100009,4,audio_features,spotify:track:7j6OJzMIJL5JcFHyeSJZGV,https://api.spotify.com/v1/audio-analysis/7j6OJzMIJL5JcFHyeSJZGV,https://api.spotify.com/v1/tracks/7j6OJzMIJL5JcFHyeSJZGV
0.794,0.448,10,-4.771,0,0.0539,0.591,0,0.109,0.588,120.055,0UgavZ34yLBu8LtA6Bwxch,231333,4,audio_features,spotify:track:0UgavZ34yLBu8LtA6Bwxch,https://api.spotify.com/v1/audio-analysis/0UgavZ34yLBu8LtA6Bwxch,https://api.spotify.com/v1/tracks/0UgavZ34yLBu8LtA6Bwxch
0.819,0.462,0,-9.638,0,0.485,0.814,1.62e-05,0.318,0.5,159.873,3q8ms2oRMFsyxUYYKDiXIP,120000,4,audio_features,spotify:track:3q8ms2oRMFsyxUYYKDiXIP,https://api.spotify.com/v1/audio-analysis/3q8ms2oRMFsyxUYYKDiXIP,https://api.spotify.com/v1/tracks/3q8ms2oRMFsyxUYYKDiXIP
0.804,0.823,8,-5.837,1,0.0488,0.104,0,0.2,0.616,126.007,7u90MSvVyEjL0c8icaE7jl,217147,4,audio_features,spotify:track:7u90MSvVyEjL0c8icaE7jl,https://api.spotify.com/v1/audio-analysis/7u90MSvVyEjL0c8icaE7jl,https://api.spotify.com/v1/tracks/7u90MSvVyEjL0c8icaE7jl
0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,3iVcZ5G6tvkXZkZKlMpIUs,219333,4,audio_features,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,https://api.spotify.com/v1/audio-analysis/3iVcZ5G6tvkXZkZKlMpIUs,https://api.spotify.com/v1/tracks/3iVcZ5G6tvkXZkZKlMpIUs
0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,7sO5G9EABYOXQKNPNiE9NR,172800,4,audio_features,spotify:track:7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR
